"Units","scenario","region","subsector","technology","output","year","value"
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC CCS)","electricity",2025,0.00257323
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC CCS)","electricity",2030,0.0099405
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC CCS)","electricity",2035,0.0277995
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC CCS)","electricity",2040,0.0627958
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC CCS)","electricity",2045,0.119475
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC CCS)","electricity",2050,0.194794
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC CCS)","electricity",2055,0.269368
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC CCS)","electricity",2060,0.346698
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC CCS)","electricity",2065,0.421607
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC CCS)","electricity",2070,0.502805
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC CCS)","electricity",2075,0.581929
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC CCS)","electricity",2080,0.689132
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC CCS)","electricity",2085,0.847331
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC CCS)","electricity",2090,1.04436
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC CCS)","electricity",2095,1.27505
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC CCS)","electricity",2100,1.51988
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC)","electricity",2025,0.000581528
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC)","electricity",2030,0.000949829
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC)","electricity",2035,0.000987303
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC)","electricity",2040,0.000755127
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC)","electricity",2045,0.00165573
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC)","electricity",2050,0.00417665
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC)","electricity",2055,0.0132858
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC)","electricity",2060,0.0262571
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC)","electricity",2065,0.0443624
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC)","electricity",2070,0.064863
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC)","electricity",2075,0.0864944
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC)","electricity",2080,0.104212
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC)","electricity",2085,0.115575
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC)","electricity",2090,0.122911
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC)","electricity",2095,0.130611
"EJ","CCSP450","Africa_Eastern","biomass","biomass (IGCC)","electricity",2100,0.135343
"EJ","CCSP450","Africa_Eastern","biomass","biomass (conv CCS)","electricity",2025,0.0203282
