"Units","scenario","region","year","value"
"thous","CCSP450","Africa_Eastern",1975,91890
"thous","CCSP450","Africa_Eastern",1990,145593
"thous","CCSP450","Africa_Eastern",2005,222829
"thous","CCSP450","Africa_Eastern",2010,255333
"thous","CCSP450","Africa_Eastern",2015,292560
"thous","CCSP450","Africa_Eastern",2020,327652
"thous","CCSP450","Africa_Eastern",2025,363312
"thous","CCSP450","Africa_Eastern",2030,398928
"thous","CCSP450","Africa_Eastern",2035,433912
"thous","CCSP450","Africa_Eastern",2040,467666
"thous","CCSP450","Africa_Eastern",2045,499664
"thous","CCSP450","Africa_Eastern",2050,529402
"thous","CCSP450","Africa_Eastern",2055,556634
"thous","CCSP450","Africa_Eastern",2060,581206
"thous","CCSP450","Africa_Eastern",2065,603136
"thous","CCSP450","Africa_Eastern",2070,622472
"thous","CCSP450","Africa_Eastern",2075,639201
"thous","CCSP450","Africa_Eastern",2080,653078
"thous","CCSP450","Africa_Eastern",2085,664120
"thous","CCSP450","Africa_Eastern",2090,672314
"thous","CCSP450","Africa_Eastern",2095,678024
"thous","CCSP450","Africa_Eastern",2100,681323
"thous","CCSP450","Africa_Northern",1975,81330
"thous","CCSP450","Africa_Northern",1990,119597
"thous","CCSP450","Africa_Northern",2005,155472
"thous","CCSP450","Africa_Northern",2010,168395
"thous","CCSP450","Africa_Northern",2015,184959
"thous","CCSP450","Africa_Northern",2020,196801
"thous","CCSP450","Africa_Northern",2025,207480
"thous","CCSP450","Africa_Northern",2030,216852
"thous","CCSP450","Africa_Northern",2035,225136
"thous","CCSP450","Africa_Northern",2040,232477
"thous","CCSP450","Africa_Northern",2045,238781
"thous","CCSP450","Africa_Northern",2050,243731
"thous","CCSP450","Africa_Northern",2055,247357
"thous","CCSP450","Africa_Northern",2060,249677
"thous","CCSP450","Africa_Northern",2065,250848
"thous","CCSP450","Africa_Northern",2070,250893
"thous","CCSP450","Africa_Northern",2075,249970
"thous","CCSP450","Africa_Northern",2080,248377
"thous","CCSP450","Africa_Northern",2085,246266
"thous","CCSP450","Africa_Northern",2090,243811
"thous","CCSP450","Africa_Northern",2095,240965
"thous","CCSP450","Africa_Northern",2100,237829
"thous","CCSP450","Africa_Southern",1975,53046
