"resource","price_unit","year","mineral_price"
"aluminium","1975$/kg",1971,0.49
"aluminium","1975$/kg",1975,0.49
"aluminium","1975$/kg",1990,0.49
"aluminium","1975$/kg",2005,0.49
"aluminium","1975$/kg",2010,0.49
"aluminium","1975$/kg",2015,0.49
"aluminium","1975$/kg",2020,0.49
"aluminium","1975$/kg",2025,0.49
"aluminium","1975$/kg",2030,0.49
"aluminium","1975$/kg",2035,0.49
"aluminium","1975$/kg",2040,0.49
"aluminium","1975$/kg",2045,0.49
"aluminium","1975$/kg",2050,0.49
"aluminium","1975$/kg",2055,0.49
"aluminium","1975$/kg",2060,0.49
"aluminium","1975$/kg",2065,0.49
"aluminium","1975$/kg",2070,0.49
"aluminium","1975$/kg",2075,0.49
"aluminium","1975$/kg",2080,0.49
"aluminium","1975$/kg",2085,0.49
"aluminium","1975$/kg",2090,0.49
"aluminium","1975$/kg",2095,0.49
"aluminium","1975$/kg",2100,0.49
"cobalt","1975$/kg",1971,9.5
"cobalt","1975$/kg",1975,9.5
"cobalt","1975$/kg",1990,9.5
"cobalt","1975$/kg",2005,9.5
"cobalt","1975$/kg",2010,9.5
"cobalt","1975$/kg",2015,9.5
"cobalt","1975$/kg",2020,9.5
"cobalt","1975$/kg",2025,9.5
"cobalt","1975$/kg",2030,9.5
"cobalt","1975$/kg",2035,9.5
"cobalt","1975$/kg",2040,9.5
"cobalt","1975$/kg",2045,9.5
"cobalt","1975$/kg",2050,9.5
"cobalt","1975$/kg",2055,9.5
"cobalt","1975$/kg",2060,9.5
"cobalt","1975$/kg",2065,9.5
"cobalt","1975$/kg",2070,9.5
"cobalt","1975$/kg",2075,9.5
"cobalt","1975$/kg",2080,9.5
"cobalt","1975$/kg",2085,9.5
"cobalt","1975$/kg",2090,9.5
"cobalt","1975$/kg",2095,9.5
"cobalt","1975$/kg",2100,9.5
"copper","1975$/kg",1971,1.45
"copper","1975$/kg",1975,1.45
"copper","1975$/kg",1990,1.45
"copper","1975$/kg",2005,1.45
"copper","1975$/kg",2010,1.45
"copper","1975$/kg",2015,1.45
"copper","1975$/kg",2020,1.45
"copper","1975$/kg",2025,1.45
"copper","1975$/kg",2030,1.45
"copper","1975$/kg",2035,1.45
"copper","1975$/kg",2040,1.45
"copper","1975$/kg",2045,1.45
"copper","1975$/kg",2050,1.45
"copper","1975$/kg",2055,1.45
"copper","1975$/kg",2060,1.45
"copper","1975$/kg",2065,1.45
"copper","1975$/kg",2070,1.45
"copper","1975$/kg",2075,1.45
"copper","1975$/kg",2080,1.45
"copper","1975$/kg",2085,1.45
"copper","1975$/kg",2090,1.45
"copper","1975$/kg",2095,1.45
"copper","1975$/kg",2100,1.45
"graphite","1975$/kg",1971,1.7
"graphite","1975$/kg",1975,1.7
"graphite","1975$/kg",1990,1.7
"graphite","1975$/kg",2005,1.7
"graphite","1975$/kg",2010,1.7
"graphite","1975$/kg",2015,1.7
"graphite","1975$/kg",2020,1.7
"graphite","1975$/kg",2025,1.7
"graphite","1975$/kg",2030,1.7
"graphite","1975$/kg",2035,1.7
"graphite","1975$/kg",2040,1.7
"graphite","1975$/kg",2045,1.7
"graphite","1975$/kg",2050,1.7
"graphite","1975$/kg",2055,1.7
"graphite","1975$/kg",2060,1.7
"graphite","1975$/kg",2065,1.7
"graphite","1975$/kg",2070,1.7
"graphite","1975$/kg",2075,1.7
"graphite","1975$/kg",2080,1.7
"graphite","1975$/kg",2085,1.7
"graphite","1975$/kg",2090,1.7
"graphite","1975$/kg",2095,1.7
"graphite","1975$/kg",2100,1.7
"lithium","1975$/kg",1971,14.44
"lithium","1975$/kg",1975,14.44
"lithium","1975$/kg",1990,14.44
"lithium","1975$/kg",2005,14.44
"lithium","1975$/kg",2010,14.44
"lithium","1975$/kg",2015,14.44
"lithium","1975$/kg",2020,14.44
"lithium","1975$/kg",2025,14.44
"lithium","1975$/kg",2030,14.44
