# File: Kalt_2017_elec_cap_gw_ctry.csv
# Title: Kalt et al. 2021 electricity generation capacity in 2017
# Units: GW
# Description: Bottom-up estimate of electricity generation capacity by country in 2017. Source data has historical years 1980-2017
# Source: SI spreadsheet in Kalt et al. 2021 Data in Brief https://doi.org/10.1016/j.dib.2021.107351
# Column types: cccn
# ----------
Technology,Country,Kalt_reg,2017
Nuclear,Afghanistan,Rest of Asia,0
Nuclear,Albania,Industrial (Old World),0
Nuclear,Algeria,Middle East and Northern Africa ,0
Nuclear,Angola,Sub-Saharan Africa,0
Nuclear,Argentina,Latin America and the Caribbean,1.63
Nuclear,Armenia,Former Soviet Union,0.38
Nuclear,Australia,Industrial (New World),0
Nuclear,Austria,Industrial (Old World),0
Nuclear,Azerbaijan,Former Soviet Union,0
Nuclear,Bahamas,Latin America and the Caribbean,0
Nuclear,Bahrain,Middle East and Northern Africa ,0
Nuclear,Bangladesh,Rest of Asia,0
Nuclear,Belarus,Former Soviet Union,0
Nuclear,Belgium,Industrial (Old World),5.92
Nuclear,Belize,Latin America and the Caribbean,0
Nuclear,Benin,Sub-Saharan Africa,0
Nuclear,Bhutan,Rest of Asia,0
Nuclear,Bolivia,Latin America and the Caribbean,0
Nuclear,Bosnia and Herzegovina,Industrial (Old World),0
Nuclear,Botswana,Sub-Saharan Africa,0
Nuclear,Brazil,Latin America and the Caribbean,1.88
Nuclear,Brunei,Rest of Asia,0
Nuclear,Bulgaria,Industrial (Old World),1.93
Nuclear,Burkina Faso,Sub-Saharan Africa,0
Nuclear,Burundi,Sub-Saharan Africa,0
Nuclear,Cambodia,Rest of Asia,0
Nuclear,Cameroon,Sub-Saharan Africa,0
Nuclear,Canada,Industrial (New World),13.55
Nuclear,Cape Verde,Sub-Saharan Africa,0
Nuclear,Central African Republic,Sub-Saharan Africa,0
Nuclear,Chad,Sub-Saharan Africa,0
Nuclear,Chile,Latin America and the Caribbean,0
Nuclear,China,China,34.51
Nuclear,Colombia,Latin America and the Caribbean,0
Nuclear,Comoros,Sub-Saharan Africa,0
Nuclear,Congo,Sub-Saharan Africa,0
Nuclear,"Congo, DR",Sub-Saharan Africa,0
Nuclear,Costa Rica,Latin America and the Caribbean,0
Nuclear,Côte d'Ivoire,Sub-Saharan Africa,0
Nuclear,Croatia,Industrial (Old World),0
Nuclear,Cuba,Latin America and the Caribbean,0
Nuclear,Cyprus,Industrial (Old World),0
Nuclear,Czech Republic,Industrial (Old World),3.93
Nuclear,Denmark,Industrial (Old World),0
Nuclear,Djibouti,Middle East and Northern Africa ,0
Nuclear,Dominican Republic,Latin America and the Caribbean,0
Nuclear,Ecuador,Latin America and the Caribbean,0
Nuclear,Egypt,Middle East and Northern Africa ,0
Nuclear,El Salvador,Latin America and the Caribbean,0
Nuclear,Equatorial Guinea,Sub-Saharan Africa,0
Nuclear,Eritrea,Sub-Saharan Africa,0
Nuclear,Estonia,Former Soviet Union,0
Nuclear,Ethiopia,Sub-Saharan Africa,0
Nuclear,Fiji,Rest of Asia,0
Nuclear,Finland,Industrial (Old World),2.77
Nuclear,France,Industrial (Old World),63.13
Nuclear,Gabon,Sub-Saharan Africa,0
Nuclear,Georgia,Former Soviet Union,0
Nuclear,Germany,Industrial (Old World),9.52
Nuclear,Ghana,Sub-Saharan Africa,0
Nuclear,Greece,Industrial (Old World),0
Nuclear,Guadeloupe,Latin America and the Caribbean,0
Nuclear,Guatemala,Latin America and the Caribbean,0
Nuclear,Guinea,Sub-Saharan Africa,0
Nuclear,Guinea Bissau,Sub-Saharan Africa,0
Nuclear,Guyana,Latin America and the Caribbean,0
Nuclear,Haiti,Latin America and the Caribbean,0
Nuclear,Honduras,Latin America and the Caribbean,0
Nuclear,Hong Kong SAR,Rest of Asia,0
Nuclear,Hungary,Industrial (Old World),1.89
