# File: Kalt_2017_td_ctry.csv
# Title: Kalt et al. 2021 grid and transformer capacity by country in 2017
# Units: Transmission and distribution line data in km. Transformer data in GVA.
"# Description: Grid (transmission and distribution lines) and transformer (transmission, distribution, and generator step-up) capacity by country in 2017"
# Source: SI spreadsheet in Kalt et al. 2021 Data in Brief https://doi.org/10.1016/j.dib.2021.107351
# Column types: cnnnnn
# ----------
Country,transmission,distribution,transmission_transformer,distribution_transformer,genstepup_transformer
Afghanistan,666,164369,1.59,1.59,0.7
Albania,1978,38096,5.3,5.3,2.33
Algeria,16703,363075,48.63,48.63,21.4
Angola,3922,107324,9.41,9.41,4.14
Argentina,53152,673085,97.92,97.92,43.08
Armenia,2395,37908,10.24,10.24,4.51
Australia,90735,676026,161.94,161.94,71.25
Austria,17646,225840,62.74,62.74,27.6
Azerbaijan,3964,90431,20.02,20.02,8.81
Bahamas,18,6335,1.44,1.44,0.64
Bahrain,0,47877,11.78,9.82,4.32
Bangladesh,9978,1233785,33.28,33.28,14.64
Belarus,14023,190308,25.64,25.64,11.28
Belgium,4883,188282,55.63,55.63,24.48
Belize,146,4602,0.52,0.52,0.23
Benin,675,34408,0.88,0.88,0.39
Bhutan,474,9633,4.04,4.04,1.78
Bolivia,3542,118393,6.49,6.49,2.85
Bosnia and Herzegovina,2398,65639,11.48,11.48,5.05
Botswana,2076,32453,1.56,1.56,0.69
Brazil,261857,2181184,393.07,393.07,172.95
Brunei,0,8090,2.05,2.05,0.9
Bulgaria,7289,139801,26.88,26.88,11.83
Burkina Faso,636,31776,0.92,0.92,0.41
Burundi,134,7711,0.04,0.04,0.02
Cambodia,2008,121816,5.44,5.44,2.39
Cameroon,699,116751,4.8,4.8,2.11
Canada,108386,1269055,367.72,367.72,161.8
Cape Verde,0,4230,0.42,0.42,0.19
Central African Republic,79,10132,0,0,0
Chad,7534,10219,0.22,0.22,0.1
Chile,26460,330806,66.69,66.69,29.34
China,1341221,26349456,4037.07,4485.63,1973.68
Colombia,8235,601406,42.56,42.56,18.72
Comoros,0,4583,0,0,0
Congo,1348,37570,0.98,0.98,0.43
"Congo, DR",6694,118028,6.4,6.4,2.81
Costa Rica,1554,70256,8.9,8.9,3.91
Côte d'Ivoire,1740,127788,5.47,5.47,2.41
Croatia,5992,78427,12.43,12.43,5.47
Cuba,4646,151318,17.45,17.45,7.68
Cyprus,878,22583,5.55,4.8,1.95
Czech Republic,17797,209183,54.75,54.75,24.09
Denmark,5151,170076,35.91,35.91,15.8
Djibouti,0,4297,0.33,0.33,0.14
Dominican Republic,1351,135654,9.7,9.7,4.27
Ecuador,6194,207170,18.49,18.49,8.14
Egypt,22720,1072966,87.58,137.7,60.59
El Salvador,656,69525,5.43,5.43,2.39
Equatorial Guinea,744,8391,0.84,0.84,0.37
Eritrea,55,11910,0.4,0.4,0.18
Estonia,4180,55820,6.34,6.34,2.79
Ethiopia,15214,377254,11.01,11.01,4.84
Fiji,0,8049,0.81,0.81,0.36
Finland,16704,376118,42.71,42.71,18.79
France,48187,1245279,240.76,555.61,145.52
Gabon,140,21041,1.71,1.71,0.75
Georgia,3313,56309,10.27,10.27,4.52
Germany,101319,1658809,535.18,535.18,235.48
Ghana,4080,258470,11.04,11.04,4.86
Greece,12808,229100,48.63,48.63,21.4
Guadeloupe,0,0,1.5,1.5,0.66
Guatemala,1050,131056,11.5,11.5,5.06
Guinea,824,26375,1.37,1.37,0.6
Guinea Bissau,0,3456,0,0,0
Guyana,0,9308,0.85,0.85,0.38
Haiti,65,40053,0.71,0.71,0.31
Honduras,0,78364,6.42,6.42,2.82
Hong Kong SAR,2041,54155,31.23,31.23,13.74
Hungary,11286,154082,21.52,21.52,9.47
Iceland,1546,31392,7.06,7.06,3.11
India,367851,12069001,826.72,655.95,426.95
Indonesia,27283,968818,156.47,156.47,68.84
Iran,75214,1180387,173.71,194.75,85.69
Iraq,19037,232306,54.23,82.17,36.16
Ireland,6477,166990,26.05,26.05,11.46
Israel,4256,184000,44.25,44.25,19.47
Italy,60936,1044280,284.54,284.54,125.2
Jamaica,235,40822,2.65,2.65,1.17
Japan,75886,4189969,858.07,347.46,332.35
Jordan,4708,98783,13.03,12.2,5.37
Kazakhstan,32523,318438,55.3,55.3,24.33
Kenya,4833,329438,5.13,11.1,2.98
Kuwait,6868,114942,93.54,46.96,20.66
Kyrgyzstan,1921,70181,10.12,10.12,4.45
Laos,4891,46526,12.61,12.61,5.55
Latvia,4446,89318,7.35,7.35,3.23
Lebanon,0,69944,8.99,5.82,2.56
Lesotho,331,9186,0,0,0
Liberia,0,7852,0.3,0.3,0.13
Libya,19733,70702,25.62,25.62,11.27
Lithuania,6660,117089,8.25,8.25,3.63
Luxembourg,176,18278,4.14,4.14,1.82
"Macedonia, FYR",623,38660,4.61,4.61,2.03
Madagascar,2419,46923,1.69,1.69,0.75
Malawi,1230,20289,0.99,0.99,0.43
Malaysia,24642,455506,86.28,86.28,37.96
Maldives,0,3816,0.7,0.7,0.31
Mali,983,53093,1.58,1.58,0.69
Malta,12,9626,1.54,1.54,0.68
Martinique,0,0,0.18,0.18,0.08
Mauritania,5455,14928,1.28,1.28,0.56
Mauritius,0,12257,2.35,2.35,1.03
Mexico,67669,762256,227.54,94.13,81.53
Moldova,2326,35874,1.13,1.13,0.5
Mongolia,5105,32335,3.5,3.5,1.54
Montenegro,266,11203,0.74,0.74,0.32
Morocco,10249,302658,21.06,21.06,9.27
Mozambique,6557,84553,6.6,6.6,2.91
Myanmar,6907,337357,13.55,13.55,5.96
Namibia,7755,17299,1.34,1.34,0.59
Nepal,2396,231805,2.56,2.56,1.13
Netherlands,8253,244381,83.95,83.95,36.94
New Zealand,35526,121863,23.22,23.22,10.22
Nicaragua,1001,48143,3.75,3.75,1.65
Niger,375,27882,0.46,0.46,0.2
Nigeria,13098,792333,31.66,31.66,13.93
North Korea,4258,101593,11.28,11.28,4.96
Norway,15641,117529,85.59,85.59,37.66
Oman,8731,65090,34.51,20.59,9.06
Pakistan,24319,896053,84.9,84.9,37.36
Panama,2680,43792,8.66,8.66,3.81
Papua New Guinea,50,31299,2.19,2.19,0.96
Paraguay,3509,71998,22.13,22.13,9.74
Peru,16742,382458,35.77,35.77,15.74
Philippines,17017,936802,58.53,58.53,25.75
Poland,45076,741470,107.17,107.17,47.15
Portugal,8083,214544,52.07,52.07,22.91
Puerto Rico,1329,69646,15.51,15.51,6.83
Qatar,1293,76627,69.67,21.99,9.68
