Country,iso,region_GCAM3,GCAM_region_ID
Afghanistan,afg,Southeast Asia,27
Albania,alb,Eastern Europe,15
Algeria,dza,Africa,3
Angola,ago,Africa,4
Argentina,arg,Latin America,31
Australia,aus,Australia_NZ,6
Austria,aut,Western Europe,13
Bahamas,bhs,Latin America,9
Bahrain,bhr,Middle East,21
Bangladesh,bgd,Southeast Asia,27
Belize,blz,Latin America,9
Benin,ben,Africa,5
Bhutan,btn,Southeast Asia,27
Bolivia,bol,Latin America,26
Botswana,bwa,Africa,4
Brazil,bra,Latin America,7
Brunei,brn,Southeast Asia,29
Bulgaria,bgr,Eastern Europe,12
Burkina Faso,bfa,Africa,5
Burundi,bdi,Africa,2
Cambodia,khm,China,29
Cameroon,cmr,Africa,5
Canada,can,Canada,8
Cape Verde,cpv,Africa,5
Central African Republic,caf,Africa,5
Chad,tcd,Africa,5
Chile,chl,Latin America,26
China,chn,China,11
Colombia,col,Latin America,32
Comoros,com,Africa,2
Congo,cog,Africa,5
"Congo, DR",cod,Africa,5
Costa Rica,cri,Latin America,9
Côte d'Ivoire,civ,Africa,5
Cuba,cub,Latin America,9
Cyprus,cyp,Western Europe,12
Denmark,dnk,Western Europe,13
Djibouti,dji,Africa,2
Dominican Republic,dom,Latin America,9
Ecuador,ecu,Latin America,26
Egypt,egy,Africa,3
El Salvador,slv,Latin America,9
Equatorial Guinea,gnq,Africa,5
Fiji,fji,Southeast Asia,29
Finland,fin,Western Europe,13
France,fra,Western Europe,13
Gabon,gab,Africa,5
Germany,deu,Western Europe,13
Ghana,gha,Africa,5
Greece,grc,Western Europe,13
Guadeloupe,glp,Latin America,9
Guatemala,gtm,Latin America,9
Guinea,gin,Africa,5
Guinea Bissau,gnb,Africa,5
Guyana,guy,Latin America,25
Haiti,hti,Latin America,9
Honduras,hnd,Latin America,9
Hong Kong SAR,hkg,Southeast Asia,11
Hungary,hun,Eastern Europe,12
Iceland,isl,Western Europe,16
India,ind,India,17
Indonesia,idn,Southeast Asia,18
Iran,irn,Middle East,21
Iraq,irq,Middle East,21
Ireland,irl,Western Europe,13
Israel,isr,Middle East,21
Italy,ita,Western Europe,13
Jamaica,jam,Latin America,9
Japan,jpn,Japan,19
Jordan,jor,Middle East,21
Kenya,ken,Africa,2
Kuwait,kwt,Middle East,21
Laos,lao,Southeast Asia,29
Lebanon,lbn,Middle East,21
Lesotho,lso,Africa,4
Liberia,lbr,Africa,5
Libya,lby,Africa,3
Madagascar,mdg,Africa,2
Malawi,mwi,Africa,4
Malaysia,mys,Southeast Asia,29
Maldives,mdv,Southeast Asia,27
Mali,mli,Africa,5
Malta,mlt,Western Europe,12
Martinique,mtq,Western Europe,9
Mauritania,mrt,Africa,5
