"region","mineral","year","value"
"Africa_Eastern","steel",2015,6.68138965677144
"Africa_Eastern","steel",2020,5.962054906294
"Africa_Eastern","steel",2025,5.24272015581656
"Africa_Eastern","steel",2030,4.52338540533911
"Africa_Eastern","steel",2035,3.80405065486167
"Africa_Eastern","steel",2040,3.08471590438423
"Africa_Eastern","steel",2045,2.36538115390679
"Africa_Eastern","steel",2050,1.64604640342934
"Africa_Eastern","steel",2055,1.64604640342934
"Africa_Eastern","steel",2060,1.64604640342934
"Africa_Eastern","steel",2065,1.64604640342934
"Africa_Eastern","steel",2070,1.64604640342934
"Africa_Eastern","steel",2075,1.64604640342934
"Africa_Eastern","steel",2080,1.64604640342934
"Africa_Eastern","steel",2085,1.64604640342934
"Africa_Eastern","steel",2090,1.64604640342934
"Africa_Eastern","steel",2095,1.64604640342934
"Africa_Eastern","steel",2100,1.64604640342934
"Africa_Northern","steel",2015,2.66257903006361
"Africa_Northern","steel",2020,2.45490971636827
"Africa_Northern","steel",2025,2.24724040267294
"Africa_Northern","steel",2030,2.0395710889776
"Africa_Northern","steel",2035,1.83190177528226
"Africa_Northern","steel",2040,1.62423246158693
"Africa_Northern","steel",2045,1.41656314789159
"Africa_Northern","steel",2050,1.20889383419626
"Africa_Northern","steel",2055,1.20889383419626
"Africa_Northern","steel",2060,1.20889383419626
"Africa_Northern","steel",2065,1.20889383419626
"Africa_Northern","steel",2070,1.20889383419626
"Africa_Northern","steel",2075,1.20889383419626
"Africa_Northern","steel",2080,1.20889383419626
"Africa_Northern","steel",2085,1.20889383419626
"Africa_Northern","steel",2090,1.20889383419626
"Africa_Northern","steel",2095,1.20889383419626
"Africa_Northern","steel",2100,1.20889383419626
"Africa_Southern","steel",2015,6.29241382760217
"Africa_Southern","steel",2020,5.66672923338383
"Africa_Southern","steel",2025,5.04104463916549
"Africa_Southern","steel",2030,4.41536004494716
"Africa_Southern","steel",2035,3.78967545072882
"Africa_Southern","steel",2040,3.16399085651048
"Africa_Southern","steel",2045,2.53830626229215
"Africa_Southern","steel",2050,1.91262166807381
"Africa_Southern","steel",2055,1.91262166807381
"Africa_Southern","steel",2060,1.91262166807381
"Africa_Southern","steel",2065,1.91262166807381
"Africa_Southern","steel",2070,1.91262166807381
"Africa_Southern","steel",2075,1.91262166807381
"Africa_Southern","steel",2080,1.91262166807381
"Africa_Southern","steel",2085,1.91262166807381
"Africa_Southern","steel",2090,1.91262166807381
"Africa_Southern","steel",2095,1.91262166807381
"Africa_Southern","steel",2100,1.91262166807381
"Africa_Western","steel",2015,4.92695778878216
"Africa_Western","steel",2020,4.52006790570127
"Africa_Western","steel",2025,4.11317802262039
"Africa_Western","steel",2030,3.7062881395395
"Africa_Western","steel",2035,3.29939825645862
"Africa_Western","steel",2040,2.89250837337773
"Africa_Western","steel",2045,2.48561849029685
"Africa_Western","steel",2050,2.07872860721596
"Africa_Western","steel",2055,2.07872860721596
"Africa_Western","steel",2060,2.07872860721596
"Africa_Western","steel",2065,2.07872860721596
"Africa_Western","steel",2070,2.07872860721596
"Africa_Western","steel",2075,2.07872860721596
"Africa_Western","steel",2080,2.07872860721596
"Africa_Western","steel",2085,2.07872860721596
"Africa_Western","steel",2090,2.07872860721596
"Africa_Western","steel",2095,2.07872860721596
"Africa_Western","steel",2100,2.07872860721596
"Argentina","steel",2015,2.22368684673527
"Argentina","steel",2020,2.06062683856405
"Argentina","steel",2025,1.89756683039283
"Argentina","steel",2030,1.73450682222162
"Argentina","steel",2035,1.5714468140504
"Argentina","steel",2040,1.40838680587918
"Argentina","steel",2045,1.24532679770797
"Argentina","steel",2050,1.08226678953675
"Argentina","steel",2055,1.08226678953675
"Argentina","steel",2060,1.08226678953675
"Argentina","steel",2065,1.08226678953675
"Argentina","steel",2070,1.08226678953675
"Argentina","steel",2075,1.08226678953675
"Argentina","steel",2080,1.08226678953675
"Argentina","steel",2085,1.08226678953675
"Argentina","steel",2090,1.08226678953675
"Argentina","steel",2095,1.08226678953675
"Argentina","steel",2100,1.08226678953675
"Australia_NZ","steel",2015,1.74838693921927
"Australia_NZ","steel",2020,1.61499948895198
"Australia_NZ","steel",2025,1.48161203868469
