"region","supplysector","subsector","stub.technology","year","minicam.non.energy.input","input.cost"
"USA","elect_td_bld","elect_td_bld","elect_td_bld",2015,"non-energy",1.72793556899589
"USA","elect_td_ind","elect_td_ind","elect_td_ind",2015,"non-energy",0.264279406388801
"USA","elect_td_trn","elect_td_trn","elect_td_trn",2015,"non-energy",1.72793556899589
"USA","elect_td_bld","elect_td_bld","elect_td_bld",2020,"non-energy",1.6993359246168
"USA","elect_td_ind","elect_td_ind","elect_td_ind",2020,"non-energy",0.26601334119077
"USA","elect_td_trn","elect_td_trn","elect_td_trn",2020,"non-energy",1.6993359246168
"USA","elect_td_bld","elect_td_bld","elect_td_bld",2025,"non-energy",1.65769925927081
"USA","elect_td_ind","elect_td_ind","elect_td_ind",2025,"non-energy",0.264560311204197
"USA","elect_td_trn","elect_td_trn","elect_td_trn",2025,"non-energy",1.65769925927081
"USA","elect_td_bld","elect_td_bld","elect_td_bld",2030,"non-energy",1.59468951715731
"USA","elect_td_ind","elect_td_ind","elect_td_ind",2030,"non-energy",0.257745984327992
"USA","elect_td_trn","elect_td_trn","elect_td_trn",2030,"non-energy",1.59468951715731
"USA","elect_td_bld","elect_td_bld","elect_td_bld",2035,"non-energy",1.52562327816514
"USA","elect_td_ind","elect_td_ind","elect_td_ind",2035,"non-energy",0.249437949893673
"USA","elect_td_trn","elect_td_trn","elect_td_trn",2035,"non-energy",1.52562327816514
"USA","elect_td_bld","elect_td_bld","elect_td_bld",2040,"non-energy",1.49906296335984
"USA","elect_td_ind","elect_td_ind","elect_td_ind",2040,"non-energy",0.251693434317269
"USA","elect_td_trn","elect_td_trn","elect_td_trn",2040,"non-energy",1.49906296335984
"USA","elect_td_bld","elect_td_bld","elect_td_bld",2045,"non-energy",1.46588406944715
"USA","elect_td_ind","elect_td_ind","elect_td_ind",2045,"non-energy",0.252307762198096
"USA","elect_td_trn","elect_td_trn","elect_td_trn",2045,"non-energy",1.46588406944715
"USA","elect_td_bld","elect_td_bld","elect_td_bld",2050,"non-energy",1.48027028480884
"USA","elect_td_ind","elect_td_ind","elect_td_ind",2050,"non-energy",0.26471603098367
"USA","elect_td_trn","elect_td_trn","elect_td_trn",2050,"non-energy",1.48027028480884
"USA","elect_td_bld","elect_td_bld","elect_td_bld",2055,"non-energy",1.44303959452025
"USA","elect_td_ind","elect_td_ind","elect_td_ind",2055,"non-energy",0.255269437925371
"USA","elect_td_trn","elect_td_trn","elect_td_trn",2055,"non-energy",1.44303959452025
"USA","elect_td_bld","elect_td_bld","elect_td_bld",2060,"non-energy",1.40573944398859
"USA","elect_td_ind","elect_td_ind","elect_td_ind",2060,"non-energy",0.245753384623997
"USA","elect_td_trn","elect_td_trn","elect_td_trn",2060,"non-energy",1.40573944398859
"USA","elect_td_bld","elect_td_bld","elect_td_bld",2065,"non-energy",1.36843929345693
"USA","elect_td_ind","elect_td_ind","elect_td_ind",2065,"non-energy",0.236237331322623
"USA","elect_td_trn","elect_td_trn","elect_td_trn",2065,"non-energy",1.36843929345693
"USA","elect_td_bld","elect_td_bld","elect_td_bld",2070,"non-energy",1.33113914292526
"USA","elect_td_ind","elect_td_ind","elect_td_ind",2070,"non-energy",0.226721278021249
"USA","elect_td_trn","elect_td_trn","elect_td_trn",2070,"non-energy",1.33113914292526
"USA","elect_td_bld","elect_td_bld","elect_td_bld",2075,"non-energy",1.2938389923936
"USA","elect_td_ind","elect_td_ind","elect_td_ind",2075,"non-energy",0.217205224719874
"USA","elect_td_trn","elect_td_trn","elect_td_trn",2075,"non-energy",1.2938389923936
